[ ON - Servidor Harry Potter Iniciado ]
[ Fecha: 2008-06-12 ]
[ Hora: 09:59:51 ]
  > 10:00:29 >> newbd-milio*1137
  > 10:00:34 >> bd-milio
  > 10:00:34 >> okbd-milio*0501010731101000101230
  > 10:00:39 >> conectar-milio*05010107
  > 10:00:43 >> pos-milio*050201
  > 10:00:44 >> pos-milio*050301
  > 10:00:44 >> pos-milio*050401
  > 10:00:45 >> pos-milio*050501
  > 10:00:45 >> pos-milio*050601
  > 10:00:45 >> pos-milio*050701
  > 10:00:46 >> pos-milio*050801
  > 10:00:46 >> pos-milio*050802
  > 10:00:47 >> pos-milio*050803
  > 10:00:47 >> pos-milio*050804
  > 10:00:47 >> pos-milio*050805
  > 10:00:48 >> pos-milio*050806
  > 10:00:48 >> pos-milio*050706
  > 10:00:49 >> pos-milio*050606
  > 10:00:49 >> pos-milio*050506
  > 10:00:51 >> pos-milio*050505
  > 10:01:04 >> pos-milio*050506
  > 10:01:05 >> pos-milio*050507
  > 10:01:06 >> pos-milio*050508
  > 10:01:06 >> pos-milio*050509
  > 10:01:06 >> pos-milio*050510
  > 10:01:07 >> pos-milio*050511
  > 10:01:07 >> pos-milio*050512
  > 10:01:07 >> pos-milio*050513
  > 10:01:08 >> pos-milio*050413
  > 10:01:09 >> pos-milio*050313
  > 10:01:09 >> pos-milio*050213
  > 10:01:10 >> pos-milio*050113
  > 10:01:10 >> pos-milio*050013
  > 10:01:11 >> pos-milio*041413
  > 10:01:12 >> pos-milio*041313
  > 10:01:13 >> pos-milio*041213
  > 10:01:13 >> pos-milio*041113
  > 10:01:14 >> pos-milio*041112
  > 10:01:14 >> pos-milio*041111
  > 10:01:15 >> pos-milio*041110
  > 10:01:16 >> pos-milio*041109
  > 10:01:16 >> pos-milio*041108
  > 10:01:16 >> pos-milio*041107
  > 10:01:17 >> pos-milio*041106
  > 10:01:17 >> pos-milio*041105
  > 10:01:18 >> pos-milio*041104
  > 10:01:18 >> pos-milio*041103
  > 10:01:18 >> pos-milio*041102
  > 10:01:19 >> pos-milio*041101
  > 10:01:19 >> pos-milio*011114
  > 10:01:20 >> pos-milio*011113
  > 10:01:21 >> pos-milio*011112
  > 10:01:21 >> pos-milio*011111
  > 10:01:21 >> pos-milio*011110
  > 10:01:21 >> pos-milio*011109
  > 10:01:21 >> pos-milio*011108
  > 10:01:22 >> pos-milio*011008
  > 10:01:23 >> pos-milio*010908
  > 10:01:23 >> pos-milio*010808
  > 10:01:24 >> pos-milio*010708
  > 10:01:24 >> pos-milio*010608
  > 10:01:24 >> pos-milio*010508
  > 10:01:25 >> pos-milio*010408
  > 10:01:25 >> pos-milio*010308
  > 10:01:25 >> pos-milio*010208
  > 10:01:26 >> pos-milio*010108
  > 10:01:26 >> pos-milio*010008
  > 10:01:27 >> pos-milio*001408
  > 10:01:28 >> pos-milio*001308
  > 10:01:28 >> pos-milio*001208
  > 10:01:28 >> pos-milio*001108
  > 10:01:29 >> pos-milio*001008
  > 10:01:29 >> pos-milio*000908
  > 10:01:29 >> pos-milio*000808
  > 10:01:30 >> pos-milio*000708
  > 10:01:30 >> pos-milio*000608
  > 10:01:30 >> pos-milio*000508
  > 10:01:31 >> pos-milio*000408
  > 10:01:31 >> pos-milio*000409
  > 10:01:32 >> pos-milio*000410
  > 10:01:33 >> pos-milio*000411
  > 10:01:33 >> pos-milio*000412
  > 10:01:34 >> pos-milio*000413
  > 10:01:34 >> pos-milio*000414
  > 10:01:34 >> pos-milio*030401
  > 10:01:35 >> pos-milio*030402
  > 10:01:35 >> pos-milio*030403
  > 10:01:35 >> pos-milio*030404
  > 10:01:36 >> pos-milio*030405
  > 10:01:36 >> pos-milio*030406
  > 10:01:36 >> pos-milio*030407
  > 10:01:37 >> pos-milio*030408
  > 10:01:37 >> pos-milio*030409
  > 10:01:37 >> pos-milio*030410
  > 10:01:37 >> pos-milio*030411
  > 10:01:38 >> pos-milio*030511
  > 10:01:39 >> pos-milio*030611
  > 10:01:39 >> pos-milio*030711
  > 10:01:39 >> pos-milio*030811
  > 10:01:39 >> pos-milio*030911
  > 10:01:42 >> pos-milio*031011
  > 10:01:43 >> pos-milio*031111
  > 10:01:43 >> pos-milio*031211
  > 10:01:43 >> pos-milio*031311
  > 10:01:44 >> pos-milio*031411
  > 10:01:44 >> pos-milio*040011
  > 10:01:45 >> pos-milio*040111
  > 10:01:45 >> pos-milio*040211
  > 10:01:46 >> pos-milio*040311
  > 10:01:46 >> pos-milio*040411
  > 10:01:46 >> pos-milio*040511
  > 10:01:47 >> pos-milio*040512
  > 10:01:47 >> pos-milio*040513
  > 10:01:48 >> pos-milio*040514
  > 10:01:48 >> pos-milio*070501
  > 10:01:48 >> pos-milio*070502
  > 10:01:48 >> pos-milio*070503
  > 10:01:48 >> pos-milio*070504
  > 10:01:49 >> pos-milio*070505
  > 10:01:51 >> pos-milio*050707
  > 10:01:53 >> pos-milio*050708
  > 10:01:54 >> pos-milio*050709
  > 10:01:54 >> pos-milio*050710
  > 10:01:55 >> pos-milio*050711
  > 10:01:56 >> pos-milio*050712
  > 10:01:58 >> pos-milio*050713
  > 10:01:59 >> pos-milio*050714
  > 10:02:00 >> pos-milio*080701
  > 10:02:01 >> pos-milio*080702
  > 10:02:01 >> pos-milio*080703
  > 10:02:02 >> pos-milio*080704
  > 10:02:05 >> pos-milio*080705
  > 10:02:06 >> pos-milio*080706
  > 10:02:06 >> pos-milio*080707
  > 10:02:07 >> pos-milio*080708
  > 10:02:08 >> pos-milio*080608
  > 10:02:08 >> pos-milio*080508
  > 10:02:09 >> pos-milio*080509
  > 10:02:10 >> pos-milio*080510
  > 10:02:11 >> pos-milio*080610
  > 10:02:12 >> pos-milio*080710
  > 10:02:12 >> pos-milio*080709
  > 10:02:13 >> pos-milio*080708
  > 10:02:14 >> pos-milio*080808
  > 10:02:14 >> pos-milio*080908
  > 10:02:15 >> pos-milio*081008
  > 10:02:16 >> pos-milio*081108
  > 10:02:16 >> pos-milio*081208
  > 10:02:17 >> pos-milio*081308
  > 10:02:18 >> pos-milio*081408
  > 10:02:18 >> pos-milio*081408
  > 10:02:19 >> pos-milio*081308
  > 10:02:20 >> pos-milio*081208
  > 10:02:20 >> pos-milio*081108
  > 10:02:21 >> pos-milio*081008
  > 10:02:22 >> pos-milio*080908
  > 10:02:23 >> pos-milio*080808
  > 10:02:23 >> pos-milio*080708
  > 10:02:24 >> pos-milio*080608
  > 10:02:25 >> pos-milio*080508
  > 10:02:25 >> pos-milio*080408
  > 10:02:26 >> pos-milio*080308
  > 10:02:27 >> pos-milio*080208
  > 10:02:27 >> pos-milio*080108
  > 10:02:28 >> pos-milio*080008
  > 10:02:29 >> pos-milio*071408
  > 10:02:29 >> pos-milio*071308
  > 10:02:30 >> pos-milio*071208
  > 10:02:31 >> pos-milio*071108
  > 10:02:31 >> pos-milio*071008
  > 10:02:32 >> pos-milio*070908
  > 10:02:33 >> pos-milio*070808
  > 10:02:33 >> pos-milio*070708
  > 10:02:34 >> pos-milio*070608
  > 10:02:35 >> pos-milio*070508
  > 10:02:35 >> pos-milio*070608
  > 10:02:36 >> pos-milio*070607
  > 10:02:37 >> pos-milio*070606
  > 10:02:37 >> pos-milio*070605
  > 10:02:38 >> pos-milio*070604
  > 10:02:39 >> pos-milio*070603
  > 10:02:40 >> pos-milio*070602
  > 10:02:41 >> pos-milio*070601
  > 10:02:41 >> pos-milio*040614
  > 10:02:42 >> pos-milio*040613
  > 10:02:43 >> pos-milio*040612
  > 10:02:43 >> pos-milio*040611
  > 10:02:44 >> pos-milio*040610
  > 10:02:45 >> pos-milio*040609
  > 10:02:45 >> pos-milio*040608
  > 10:02:46 >> pos-milio*040607
  > 10:02:47 >> pos-milio*040606
  > 10:02:47 >> pos-milio*040605
  > 10:02:48 >> pos-milio*040505
  > 10:02:50 >> pos-milio*040504
  > 10:02:51 >> pos-milio*040503
  > 10:02:52 >> pos-milio*040502
  > 10:02:52 >> pos-milio*040602
  > 10:02:53 >> pos-milio*040702
  > 10:02:54 >> pos-milio*040802
  > 10:02:54 >> pos-milio*040702
  > 10:02:55 >> pos-milio*040602
  > 10:02:56 >> pos-milio*040502
  > 10:02:56 >> pos-milio*040402
  > 10:02:57 >> pos-milio*040302
